,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode
720,Gunna,Mistress,58t0XmJe6vAUVnjCoeiqJP,gibberish,0.667,0.106,148.039,0.269,0.0274,0.0,0.92,2,171372,-5.736,0.5,1
721,Gunna,Car Sick (feat. NAV & Metro Boomin),2jJqx7SPGBonJGSHMejEXP,gibberish,0.573,0.0922,150.003,0.387,0.101,0.0,0.859,7,219817,-6.24,0.4,1
722,Gunna,My Soul,1yYWlklH24PM1PNOzLdDNi,gibberish,0.304,0.147,115.28,0.333,0.671,4.13e-06,0.842,7,158333,-12.182,0.139,0
723,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,gibberish,0.346,0.108,119.958,0.53,0.035,0.0,0.964,5,142273,-9.309,0.562,0
724,Lil Baby,Cash,3OyMMEBmp23N79jkH2gcpT,gibberish,0.579,0.0878,139.977,0.164,0.000796,2.7e-06,0.797,9,198474,-6.615,0.3,1
725,Lil Baby,Fit In,7tgEm1rQTA603HnZYRDgKL,gibberish,0.444,0.134,144.06,0.451,0.316,0.0,0.877,2,213990,-8.47,0.653,0
726,Lil Baby,To The Top,0T7GMqDSnmVEXUx5NIQfNn,gibberish,0.559,0.172,112.938,0.163,0.0504,0.0,0.758,8,218200,-10.326,0.345,0
727,Lil Baby,Money,7q3KLkatqLCyAgo2GG4T8h,gibberish,0.545,0.0865,133.004,0.0416,0.0394,0.0,0.784,4,139053,-8.524,0.56,0
728,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,gibberish,0.517,0.143,119.996,0.0706,0.217,0.0,0.877,2,162053,-5.426,0.255,0
729,A Boogie Wit da Hoodie,Just Like Me (feat. Young Thug),0uH6JssU7mWkTT9mqeqEvL,gibberish,0.623,0.0955,128.661,0.245,0.156,0.0,0.774,5,220888,-7.871,0.393,1
730,Quality Control,On Me,0bEa2tI3Pk6M6TWkcD1uRY,gibberish,0.612,0.117,134.958,0.192,0.0995,0.0,0.929,0,216147,-4.467,0.808,1
731,Young Thug,Sin (feat. Jaden Smith),1Jl21sidRpEdlVBvYbssLx,gibberish,0.385,0.274,125.995,0.165,0.00544,0.0,0.889,11,202533,-11.767,0.235,0
732,Kodak Black,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,gibberish,0.489,0.122,171.853,0.294,0.0576,9.91e-05,0.497,11,268187,-7.724,0.231,0
733,Kodak Black,Conscience (feat. Future),16dXg2YuFOxwDC3cTf5jde,gibberish,0.693,0.115,159.972,0.199,0.047,0.0,0.666,1,219754,-3.638,0.132,1
734,Kodak Black,Hate Being Alone,4OTofNs1V7sgnSSlzj4edo,gibberish,0.59,0.372,125.955,0.0291,0.258,0.0,0.71,5,244079,-4.653,0.231,0
735,Kodak Black,Codeine Dreaming,1wHvJ7PJEyEAgiOK5FqAKn,gibberish,0.604,0.124,155.007,0.222,0.0652,6.43e-05,0.736,1,264532,-7.357,0.574,0
736,Kodak Black,Don't Wanna Breathe,4fYnu27BVjbZYPWkgksZmy,gibberish,0.6,0.134,142.02,0.102,0.282,0.0,0.709,8,196672,-7.079,0.345,0
737,Kodak Black,The Recipe,3qnNg5Lj3bf7qwc2p38lmB,gibberish,0.526,0.165,139.977,0.304,0.0403,0.0,0.847,1,199329,-6.821,0.219,0
738,Kodak Black,Misunderstood,5NE3loNyJLFxwy5oiVZuhf,gibberish,0.598,0.16,139.984,0.193,0.374,0.0,0.809,0,189844,-4.743,0.135,1
739,Kodak Black,Patty Cake,0bXFIF7iL17TYLyx8JHziM,gibberish,0.77,0.0645,152.094,0.19,0.0252,0.0,0.806,1,198110,-6.464,0.406,0
740,Kodak Black,Too Many Years,0BU7nIcCZxYSE0hYcc5oZz,gibberish,0.706,0.112,147.067,0.0958,0.0237,0.0,0.665,8,196336,-6.859,0.632,0
741,Tyga,Hookah,3qQ6WFhcAx6LOH1UHz1c0U,gibberish,0.484,0.117,190.04,0.43,0.735,0.0,0.678,1,202320,-6.647,0.219,0
742,Quality Control,Space Cadet,5ZmTssLo3hBAW1FZG60PEb,gibberish,0.511,0.118,139.972,0.272,0.324,0.0,0.834,5,180960,-7.078,0.351,0
743,Lil Baby,A-Town,5MuIBOPNO1mWDaEt7qBtYg,gibberish,0.475,0.107,160.017,0.335,0.0717,0.0,0.643,4,182000,-10.837,0.369,0
744,Lil Baby,My Dawg,7CEJH5Ed7FBbXF6CqBQPlJ,gibberish,0.544,0.0954,133.012,0.0642,0.0336,0.0,0.943,10,215423,-6.292,0.515,0
745,Lil Baby,Pink Slip,4cAIfmo7P8InMxyyXsZtoM,gibberish,0.629,0.129,146.997,0.0344,0.099,0.0,0.685,8,248064,-6.567,0.311,1
746,iLuvMuny,No Lies,5wwtTjieBdMWQtvesa1MkJ,gibberish,0.388,0.0996,136.009,0.137,0.378,0.0,0.879,1,212793,-12.152,0.56,1
747,Young Scooter,New Hunnids (feat. Yung Bans & Gunna),5NPOmOXL78NQ3GIy08ufjD,gibberish,0.704,0.116,154.938,0.179,0.0275,2.6e-05,0.792,2,223065,-5.637,0.38,1
748,Lil Mosey,Noticed,6JQvHMSaR8flFsN53ypOfP,gibberish,0.558,0.116,79.992,0.0603,0.462,0.0,0.699,11,165000,-7.622,0.493,1
749,Lil Mosey,Kamikaze,1iPBD72u3nAyFEeardYuBV,gibberish,0.571,0.1,99.999,0.094,0.301,0.0,0.792,8,139200,-7.539,0.556,0
750,Lil Mosey,Pull Up,6dww8y59MiIREzWonqzGOy,gibberish,0.607,0.115,149.033,0.0862,0.554,0.0,0.655,7,183624,-5.815,0.2,0
