,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode,Clusters
1036,Kanye West,New Slaves,4cAgkb0ifwn0FSHGXnr4F6,wack,0.59,0.096,150.189,0.0708,0.166,1.09e-05,0.579,1,256093,-4.322,0.361,1,1
1037,Kanye West,Send It Up,3RKblQNJs8HPvWBgXmq6nn,wack,0.544,0.282,93.585,0.34,0.292,7.41e-05,0.624,9,178040,-5.193,0.363,1,1
1038,Kanye West,Bound 2,3sNVsP50132BTNlImLx70i,wack,0.6659999999999999,0.113,149.445,0.0471,0.145,0.0,0.365,1,229147,-2.821,0.311,1,1
1039,Danny Brown,Really Doe,6dHatCnuOb1TdBIeJTK3Y0,wack,0.983,0.21,75.992,0.29,0.0417,0.0,0.6920000000000001,1,319434,-3.469,0.792,1,0
1040,Danny Brown,White Lines,3fqfuK6PQITWU0fCKfo31d,wack,0.858,0.142,154.423,0.298,0.214,0.0206,0.40700000000000003,1,143730,-4.961,0.46799999999999997,1,0
1041,Danny Brown,Pneumonia,6l2Q1Jb5c2VycqDEzp5ZlJ,wack,0.88,0.381,139.969,0.228,0.26,1.8100000000000003e-05,0.795,9,219884,-4.694,0.547,1,0
1042,Danny Brown,When It Rain,2DGbSEkVncvcUJzFYN0V9y,wack,0.8809999999999999,0.14300000000000002,148.439,0.177,0.0758,0.0,0.737,1,195966,-5.268,0.419,0,0
1043,Danny Brown,Dope Fiend Rental (feat. ScHoolboy Q),68XCDRI6AzwJm30y4FgLeq,wack,0.7659999999999999,0.515,139.08700000000002,0.24100000000000002,0.142,0.0,0.5489999999999999,9,175207,-5.841,0.762,0,0
1044,Danny Brown,Side B [Dope Song],26dfLcCVJUdscPvmUmkuSI,wack,0.6,0.6940000000000001,160.08,0.249,0.187,0.0,0.69,8,156744,-7.331,0.7609999999999999,1,0
1045,Danny Brown,Dip,29Zj1r8cek15xe08vNUOLy,wack,0.882,0.15,140.10299999999998,0.0819,0.0193,0.0,0.7509999999999999,1,211825,-5.605,0.6509999999999999,1,0
1046,Danny Brown,Smokin & Drinkin,3xd80KxnM4MnDcaE8bcreg,wack,0.902,0.0695,147.006,0.0579,0.0278,0.0,0.731,11,173193,-5.151,0.9470000000000001,1,0
1047,Danny Brown,Kush Coma (feat. A$AP Rocky & Zelooperz),0FC0A4pl5mGYaS2JporIuU,wack,0.965,0.188,130.776,0.11599999999999999,0.0050100000000000006,0.0,0.574,1,281012,-4.643,0.301,1,1
1048,"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),21yRtB6B8EMounImAfHRCP,wack,0.485,0.122,115.414,0.331,0.337,0.0,0.706,8,205093,-9.671,0.14400000000000002,1,1
1049,"Tyler, The Creator",I Ain't Got Time!,430qNtapCS3Ue1yoSql1oV,wack,0.725,0.14800000000000002,108.822,0.397,0.0539,3.52e-05,0.5489999999999999,1,206267,-7.239,0.547,1,0
1050,Denzel Curry,CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA],5ZJABzmKr9flocrtQqbINO,wack,0.6940000000000001,0.508,119.005,0.428,0.0872,0.0,0.544,11,198773,-6.648,0.4,0,1
1051,Denzel Curry,MAD I GOT IT | MAD 1 GOT 1T,6xXYFVsFDGSLNzeE9zGCiL,wack,0.57,0.34299999999999997,107.766,0.172,0.222,2.32e-06,0.715,0,232293,-7.682,0.371,0,1
1052,Denzel Curry,VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],4d8BSdhx6WT5GtTOWpv4rh,wack,0.799,0.289,144.025,0.111,0.0573,4.18e-06,0.7290000000000001,11,240213,-6.136,0.439,0,0
1053,Kanye West,Yikes,1qsHYUd2c1wFGcn7e63QmG,wack,0.7759999999999999,0.22699999999999998,173.99599999999998,0.341,0.15,0.0,0.6829999999999999,1,188773,-3.2510000000000003,0.223,0,1
1054,Kanye West,All Mine,3U21A07gAloCc4P7J8rxcn,wack,0.31,0.0931,121.927,0.29100000000000004,0.12300000000000001,0.0,0.925,11,145507,-6.531000000000001,0.29100000000000004,0,1
1055,Kanye West,Wouldn't Leave,1nGoy0cEj0extAwXYNYTWd,wack,0.43200000000000005,0.308,164.235,0.545,0.495,0.0,0.556,3,205547,-8.551,0.35200000000000004,1,2
